county name,active in state texas attorney_2010,active in state texas attorney_2011,active in state texas attorney_2012,active in state texas attorney_2013,active in state texas attorney_2014,active in state texas attorney_2015,active in state texas attorney_2016,active in state texas attorney_2017,active in state texas attorney_2018,active in state texas attorney_2019,active in state texas attorney_2020,active in state texas attorney_2021,active in state texas attorney_2022,active in state texas attorney_2023,active in state texas attorney_2024,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2023,population_2024,ratio of attorney to population_2010,ratio of attorney to population_2011,ratio of attorney to population_2012,ratio of attorney to population_2013,ratio of attorney to population_2014,ratio of attorney to population_2015,ratio of attorney to population_2016,ratio of attorney to population_2017,ratio of attorney to population_2018,ratio of attorney to population_2019,ratio of attorney to population_2020,ratio of attorney to population_2021,ratio of attorney to population_2023,ratio of attorney to population_2024,attorney as a percentage of total in state attorney_2010,attorney as a percentage of total in state attorney_2011,attorney as a percentage of total in state attorney_2012,attorney as a percentage of total in state attorney_2013,attorney as a percentage of total in state attorney_2014,attorney as a percentage of total in state attorney_2015,attorney as a percentage of total in state attorney_2016,attorney as a percentage of total in state attorney_2017,attorney as a percentage of total in state attorney_2018,attorney as a percentage of total in state attorney_2019,attorney as a percentage of total in state attorney_2020,attorney as a percentage of total in state attorney_2021,attorney as a percentage of total in state attorney_2023,attorney as a percentage of total in state attorney_2024,population as a percentage of total texas population_2010,population as a percentage of total texas population_2011,population as a percentage of total texas population_2012,population as a percentage of total texas population_2013,population as a percentage of total texas population_2014,population as a percentage of total texas population_2015,population as a percentage of total texas population_2016,population as a percentage of total texas population_2017,population as a percentage of total texas population_2018,population as a percentage of total texas population_2019,population as a percentage of total texas population_2020,population as a percentage of total texas population_2021,population as a percentage of total texas population_2023,population as a percentage of total texas population_2024
Limestone County,19,31,29,28,26,30,31,33,32,32,29,29,30,30,29,23384,23634,23585,23326,23524,23320,,23527,23519,23437,22146,22119,22250,22569,"1:1,231",0.570833333,0.60625,0.620138889,0.670138889,0.58125,,0.536805556,0.552083333,0.55,0.572222222,0.571527778,0.556944444,0.581944444,0.0002,0.0004,0.0004,0.0003,0.0003,0.0003,,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,,0.0009,0.0009,,,0.0008,,0.0008,,0.0008,0.0008,0.0007,0.0007,0.0008
Lipscomb County,5,3,3,3,3,4,4,5,5,5,4,3,3,2,1,3302,3327,3480,3485,3553,3569,,3378,3355,3233,3059,2931,2906,2880,0.5,"1:1,109","1:1,160","1:1,162","1:1,184",0.661111111,,0.511111111,0.507638889,0.490972222,0.572916667,0.720138889,"1:1,453","1:2,880",0.0001,0,0,0,0,0,,0.0001,0.0001,0.0001,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Live Oak County,7,11,13,13,13,14,13,13,12,12,13,13,13,12,12,11531,11447,11664,11867,12091,12229,,12174,12166,12207,11335,11377,11584,11967,"1:1,647","1:1,041",0.664583333,0.675694444,0.6875,0.648611111,,0.691666667,"1:1,014","1:1,017",0.647222222,0.649305556,0.711805556,0.734027778,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Llano County,24,71,66,68,70,64,66,65,63,63,65,86,88,90,100,19301,19181,19085,19444,19510,19796,,21210,21646,21795,21243,21978,22875,23163,0.6,0.229166667,0.242361111,0.240277778,0.235416667,0.25625,,0.268055556,0.280555556,0.281944444,0.26875,0.219444444,0.218055556,0.202777778,0.0003,0.0009,0.0008,0.0008,0.0008,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0009,0.0009,0.001,,0.0007,0.0007,,,0.0007,,0.0007,,0.0008,0.0007,0.0007,0.0008,0.0008
Loving County,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,82,94,71,95,86,112,,134,152,169,64,57,43,48,1:--,1:--,1:--,1:--,1:--,1:--,,1:--,1:--,1:--,0.086111111,1:57:00,1:43:00,1:48:00,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Lubbock County,676,773,785,789,785,791,808,810,801,801,814,830,830,837,833,279036,283910,285760,289324,293974,299453,,305225,307412,310569,310639,314451,320940,327394,0.328472222,0.296527778,0.294444444,0.296527778,0.301388889,0.304861111,,0.303472222,0.308333333,0.311111111,0.306944444,0.304861111,0.307638889,0.314583333,0.0078,0.0096,0.0095,0.0093,0.0091,0.009,,0.0089,0.0088,0.0088,0.0089,0.0087,0.0086,0.0086,,0.0111,0.011,,,0.0109,,0.0108,,0.0108,0.0108,0.0106,0.0107,0.0109
Lynn County,6,7,9,8,6,7,6,7,7,7,8,7,8,7,8,5915,5888,5783,5723,5771,5724,,5859,5877,5951,5596,5688,5761,5952,0.726388889,0.625694444,0.488194444,0.538194444,0.709722222,0.609722222,,0.348611111,0.625,0.631944444,0.527777778,0.60625,0.613194444,0.558333333,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Madison County,13,13,1,13,15,15,15,18,18,12,18,17,18,20,18,13664,13747,5017,13781,13861,14065,,14222,14422,14284,13455,13718,13742,13877,"1:1,051","1:1,057","1:5,017","1:1,060",0.683333333,0.693055556,,0.590277778,0.597916667,"1:1,190",0.561111111,0.602083333,0.51875,0.577083333,0.0002,0.0002,0,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,,0.0005,0.0002,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Marion County,8,6,13,6,5,8,7,9,10,39,10,9,10,10,10,10546,10507,4003,10235,10149,10160,,10064,9928,9854,9725,9645,9571,9704,"1:1,318","1:1,751",0.255555556,"1:1,706","1:2,030","1:1,270",,"1:1,118",0.73125,0.217361111,0.717361111,"1:1,072",0.70625,0.715277778,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0004,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0002,,,0.0004,,0.0004,,0.0003,0.0003,0.0003,0.0003,0.0003
Martin County,7,2,43,1,1,1,2,2,2,2,1,1,1,1,1,5368,4934,36547,5312,5460,5641,,5626,749,5771,5237,5211,5216,5179,0.574305556,"1:2,467",0.631944444,"1:5,312","1:5,460","1:5,641",,"1:2,813",0.302083333,"1:2,886","1:5,237","1:5,211","1:5,216","1:5,179",0.0001,0,0.0005,0,0,0,,0,0,0,0,0,0,0,,0.0002,0.0014,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Mason County,6,10,48,14,12,13,14,12,12,51,13,16,17,16,18,4012,3984,55365,4128,4071,4032,,4222,5753,4274,3953,3943,3931,3987,0.50625,0.318055556,"1:1,153",0.246527778,0.277083333,0.256944444,,0.286111111,0.374305556,0.1,0.252777778,0.2125,0.2125,0.195833333,0.0001,0.0001,0.0006,0.0002,0.0001,0.0001,,0.0001,0.0001,0.0006,0.0001,0.0002,0.0002,0.0002,,0.0002,0.0021,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Matagorda County,25,39,6,41,44,43,41,43,39,9,39,37,37,34,35,36702,36809,8313,36592,36519,36770,,36840,4280,36643,36255,36344,36359,36391,"1:1,468",0.697222222,"1:1,386",0.661111111,0.618055556,0.635416667,,0.636805556,0.118055556,"1:4,071",0.6875,0.723611111,"1:1,069","1:1,040",0.0003,0.0005,0.0001,0.0005,0.0005,0.0005,,0.0005,0.0004,0.0001,0.0004,0.0004,0.0004,0.0004,,0.0014,0.0003,,,0.0013,,0.0013,,0.0013,0.0013,0.0012,0.0012,0.0012
Maverick County,25,45,1,49,51,49,50,50,51,2,50,54,56,56,60,54258,55405,726,55932,57023,57706,,58216,58485,58722,57887,58056,57762,58829,"1:2,170","1:1,231",0.545833333,"1:1,141","1:1,118","1:1,178",,"1:1,164","1:1,147","1:2,9361","1:1,158","1:1,075",0.757638889,0.722222222,0.0003,0.0006,0,0.0006,0.0006,0.0006,,0.0005,0.0006,0,0.0005,0.0006,0.0006,0.0006,,0.0022,0,,,0.0021,,0.0021,,0.002,0.002,0.002,0.0019,0.002
McCulloch County,11,6,13,6,7,9,9,9,9,18,8,7,7,7,6,8283,8290,13677,8330,8199,8341,,7957,7987,7984,7630,7533,7452,7448,0.564583333,"1:1,382","1:1,052","1:1,388","1:1,171",0.685416667,,0.655555556,0.657638889,0.35,0.704166667,"1:1,076","1:2,269","1:1,794",0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0005,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0002,0.0002
McLennan County,310,599,605,618,618,627,641,663,674,674,696,701,712,727,722,234906,238564,238707,241481,243441,245671,,251259,254607,256623,260579,263115,268583,270358,0.568055556,0.318055556,0.315972222,0.313194444,0.315277778,0.313888889,,0.304861111,0.304166667,0.30625,0.301388889,0.302083333,0.297916667,0.301388889,0.0036,0.0074,0.0073,0.0073,0.0071,0.0071,,0.0073,0.0074,0.0074,0.0076,0.0074,0.0075,0.0075,,0.0093,0.0092,,,0.0089,,0.0089,,0.0089,0.0091,0.0089,0.0089,0.009
McMullen County,0,0,4,2,1,1,1,1,2,10,2,2,2,1,1,707,690,10324,764,805,820,,778,749,743,600,608,568,565,1:--,1:--,"1:2,581",0.306944444,0.600694444,0.611111111,,0.581944444,0.302083333,0.093055556,0.25,0.252777778,"1:1,031",0.722222222,0,0,0,0,0,0,,0,0,0.0001,0,0,0,0,,0,0.0004,,,0,,0,,0,0,0,0,0
Medina County,40,45,43,46,45,46,43,47,46,46,51,50,52,50,53,46006,46367,46765,47399,47894,48417,,50066,50921,51584,50748,51981,54797,55619,"1:1,150","1:1,030","1:1,088","1:1,030","1:1,064","1:1,053",,"1:1,065","1:1,107","1:1,121",0.732638889,"1:1,040","1:1,096","1:1,049",0.0005,0.0006,0.0005,0.0005,0.0005,0.0005,,0.0005,0.0005,0.0005,0.0006,0.0005,0.0005,0.0005,,0.0018,0.0018,,,0.0018,,0.0018,,0.0018,0.0018,0.0018,0.0018,0.0019
Menard County,1,2,2,2,3,3,3,3,3,3,4,2,3,2,2,2242,2264,2240,2148,2147,2164,,2124,2139,2138,1962,1982,1958,1911,"1:2,242","1:1,132","1:1,120","1:1,074",0.538888889,0.542361111,,0.533333333,0.536805556,0.536805556,0.382638889,0.729861111,"1:1,065","1:1,241",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Midland County,183,409,430,447,479,480,494,513,501,501,503,489,479,463,465,136872,140308,146645,151468,155830,161077,,165049,172578,176832,169983,167969,177108,183587,0.561111111,0.279861111,0.278472222,0.277083333,0.267361111,0.275,,0.265277778,0.280555556,0.286805556,0.276388889,0.279861111,0.307638889,0.315972222,0.0021,0.0051,0.0052,0.0053,0.0055,0.0055,,0.0056,0.0055,0.0055,0.0055,0.0051,0.0048,0.0048,,0.0055,0.0056,,,0.0059,,0.0058,,0.0062,0.0059,0.0057,0.0059,0.0061
Milam County,16,31,26,29,29,30,31,31,32,32,34,34,34,33,32,24757,24699,24157,24167,24256,24513,,25053,25131,24823,24754,25106,25951,26159,"1:1,547",0.595138889,0.686805556,0.620138889,0.622222222,0.609027778,,0.602777778,0.586805556,0.580555556,0.547222222,0.554166667,0.436111111,0.434027778,0.0002,0.0004,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,,0.001,0.0009,,,0.0009,,0.0009,,0.0009,0.0009,0.0009,0.0009,0.0009
Mills County,6,7,7,6,7,7,7,8,8,8,6,6,7,7,7,4936,4848,4828,4907,4870,4900,,4921,4921,4873,4456,4480,4548,4563,0.613194444,0.522916667,0.520833333,0.609722222,0.525,0.527777778,,0.46875,0.46875,0.464583333,0.557638889,0.560416667,0.721527778,0.705555556,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Mitchell County,12,4,5,6,6,7,5,5,5,5,5,5,5,4,5,9403,9426,9336,9402,9076,9067,,8468,8145,8545,8990,9070,9075,8968,0.586111111,"1:2,357","1:1,867","1:1,567","1:1,513","1:1,295",,"1:1,694","1:1,629","1:1,709","1:1,798","1:1,814",0.5875,0.609027778,0.0001,0,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0001,,0.0004,0.0004,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Montague County,18,18,19,21,23,21,23,22,21,21,21,21,22,21,22,19719,19710,19565,19503,19416,19262,,19539,19596,19818,19965,20409,21598,21890,"1:1,095","1:1,095","1:1,030",0.686805556,0.627777778,0.678472222,,0.658333333,0.689583333,0.697222222,0.702083333,0.716666667,"1:1,028",0.494444444,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0008,0.0008,,,0.0007,,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
Montgomery County,1058,1158,1226,1305,1365,1419,1496,1555,1604,1604,1666,1724,1797,1870,1898,455746,471734,485047,499137,518947,537559,,570934,590925,607391,620443,648886,711354,749613,0.340972222,0.324305556,0.316666667,0.306944444,0.305555556,0.304861111,,0.296527778,0.297222222,0.304861111,0.3,0.302777778,,0.315972222,0.0122,0.0144,0.0148,0.0154,0.0158,0.0161,,0.0171,0.0176,0.0176,0.0183,0.0181,,0.0196,,0.0184,0.0186,,,0.0196,,0.0202,,0.0212,0.0216,0.022,,0.025
Moore County,15,16,15,17,19,16,14,12,12,12,11,11,11,10,11,21904,21954,22313,22141,22148,22255,,22097,21485,20940,21358,21118,21190,21872,"1:1,460","1:1,372","1:1,488","1:1,302","1:1,166","1:1,391",,"1:1,841","1:1,790","1:1,745","1:1,942","1:1,920","1:2,119","1:1,988",0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0009,0.0009,,,0.0008,,0.0008,,0.0007,0.0007,0.0007,0.0007,0.0007
Morris County,12,18,13,13,14,14,15,15,15,15,12,13,13,13,13,12934,12848,12787,12834,12743,12516,,12467,12339,12388,11973,12030,12066,12184,"1:1,078",0.5375,0.725,0.727083333,0.673611111,0.6625,,0.61875,0.613194444,0.615277778,0.734722222,0.684027778,0.686111111,0.692361111,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Motley County,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1210,1230,1202,1196,1153,1148,,1230,1234,1200,1063,1067,1020,1015,0.461805556,0.46875,0.459027778,"1:1,196","1:1,153","1:1,148",,"1:1,230","1:1,234","1:1,200","1:1,063","1:1,067","1:1,020","1:1,015",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Nacogdoches County,66,90,90,92,96,100,103,98,100,100,115,103,107,104,107,64524,65466,66034,65330,65301,65664,,65580,65711,65204,64653,64668,65375,65728,0.720833333,0.546527778,0.551388889,0.534722222,0.513888889,0.497916667,,0.50625,0.497916667,0.494444444,0.431944444,0.477777778,0.478472222,0.468055556,0.0008,0.0011,0.0011,0.0011,0.0011,0.0011,,0.0011,0.0011,0.0011,0.0013,0.0011,0.0011,0.0011,,0.0025,0.0025,,,0.0024,,0.0023,,0.0023,0.0023,0.0022,0.0022,0.0022
Navarro County,43,55,57,57,54,53,56,59,61,61,63,66,64,62,63,47735,48054,47979,48038,48195,48323,,48701,49565,50113,52624,53591,55635,56533,"1:1,110",0.648611111,0.626388889,0.627083333,0.661805556,0.675,,0.614583333,0.60625,0.6125,0.621527778,0.605555556,0.664583333,0.664583333,0.0005,0.0007,0.0007,0.0007,0.0006,0.0006,,0.0006,0.0007,0.0007,0.0007,0.0007,0.0006,0.0007,,0.0019,0.0018,,,0.0018,,0.0017,,0.0017,0.0018,0.0018,0.0019,0.0019
Newton County,6,6,6,6,5,5,5,6,5,5,5,5,5,5,5,14564,14454,14200,14140,14138,13986,,13952,13746,13595,12217,12241,12039,11908,"1:2,427","1:2,409","1:2,367","1:2,357","1:2,828","1:2,797",,"1:2,325","1:2,749","1:2,719","1:2,443","1:2,448","1:2,408","1:2,382",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0006,0.0005,,,0.0005,,0.0005,,0.0005,0.0004,0.0004,0.0004,0.0004
Nolan County,19,20,22,23,22,2,23,23,20,20,22,21,20,19,18,15216,15269,14924,15037,15093,15107,,14770,14751,14714,14738,14597,14306,14182,0.597916667,0.571527778,0.5125,0.495833333,0.518055556,"1:7,554",,0.4875,0.554166667,0.552777778,0.506944444,0.524305556,0.564583333,0.588888889,0.0002,0.0002,0.0003,0.0003,0.0003,0,,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0006,0.0006,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Nueces County,837,926,951,967,968,986,971,961,945,945,916,908,899,893,882,340223,343281,347691,352107,356221,359715,,361221,362265,362294,353178,353079,352289,353125,0.324305556,0.299305556,0.295833333,0.294444444,0.297222222,0.295138889,,0.302777778,0.307638889,0.307638889,0.309722222,0.311805556,0.315972222,0.319444444,0.0096,0.0115,0.0115,0.0114,0.0112,0.0112,,0.0106,0.0104,0.0104,0.01,0.0095,0.0092,0.0091,,0.0134,0.0133,,,0.0131,,0.0128,,0.0126,0.0123,0.012,0.0117,0.0118
Ochiltree County,7,14,13,12,14,13,13,12,11,11,12,12,11,10,10,10223,10530,10728,10806,10758,10747,,10073,9947,9836,10015,9782,9704,9717,"1:1,460",0.563888889,0.614583333,0.667361111,0.575,0.615972222,,0.624305556,0.669444444,0.6625,0.621527778,0.607638889,0.715277778,0.716666667,0.0001,0.0002,0.0002,0.0001,0.0002,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0003,0.0003,0.0003,0.0003,0.0003
Oldham County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2074,2060,2102,2070,2069,,2114,2131,2112,1758,1717,1783,1823,1:--,1:--,1:--,1:--,1:--,1:--,,1:--,1:--,1:--,1:--,1:--,1:--,1: --,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Orange County,67,80,84,82,74,75,70,73,71,71,59,60,62,60,64,81837,82487,82977,82957,83433,84260,,85047,83572,83396,84808,84742,85722,86115,"1:1,221","1:1,031",0.727777778,"1:1,012","1:1,127","1:1,123",,"1:1,165","1:1,177","1:1,175","1:1,437","1:1,412",1.034027778,0.976388889,0.0008,0.001,0.001,0.001,0.0009,0.0009,,0.0008,0.0008,0.0008,0.0006,0.0006,0.0006,0.0007,,0.0032,0.0032,,,0.0031,,0.003,,0.0029,0.003,0.0029,0.0029,0.0029
Palo Pinto County,27,27,28,29,26,28,29,30,27,27,26,26,26,26,25,28111,28115,27856,27889,28096,27895,,28570,28875,29189,28409,28686,29747,30231,"1:1,041","1:1,041",0.732638889,0.709722222,"1:1,081",0.733333333,,0.702777778,"1:1,069","1:1,081","1:1,093","1:1,103","1:1,144","1:1,209",0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0011,0.0011,,,0.001,,0.001,,0.001,0.001,0.001,0.001,0.001
Panola County,19,21,22,22,22,21,21,21,18,18,23,22,22,20,20,23796,24058,24020,23870,23769,23766,,23243,23148,23194,22491,22675,22838,23022,"1:1,252","1:1,146","1:1,092","1:1,085","1:1,080","1:1,132",,"1:1,107","1:1,286","1:1,289",0.720833333,"1:1,031","1:1,142","1:1,151",0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.0002,,0.0009,0.0009,,,0.0009,,0.0008,,0.0008,0.0008,0.0008,0.0008,0.0008
Parker County,159,162,170,181,191,191,193,200,203,203,235,244,256,275,269,116927,118376,119712,121418,123164,126042,,133463,138371,142878,148222,156764,173494,179707,0.552083333,0.549305556,0.530555556,0.507638889,0.489583333,0.5,,0.504861111,0.515277778,0.530555556,0.479861111,0.4875,0.479861111,0.505555556,0.0018,0.002,0.0021,0.0021,0.0022,0.0022,,0.0022,0.0022,0.0022,0.0026,0.0026,0.0028,0.0028,,0.0046,0.0046,,,0.0046,,0.0047,,0.005,0.0052,0.0053,0.0058,0.006
Parmer County,4,4,4,4,4,4,5,3,3,3,3,4,4,3,3,10269,10332,10183,9965,9908,9749,,9842,9864,9605,9869,9813,9617,9669,"1:2,567","1:2,583","1:2,546","1:2,491","1:2,477","1:2,437",,"1:3,281","1:3,288","1:3,202","1:3,290","1:2,453","1:3,206","1:3,223",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0004,0.0004,,,0.0004,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Pecos County,24,9,10,10,10,12,13,14,15,15,14,16,16,17,16,15507,15716,15619,15697,15893,16203,,15634,15673,15823,15193,15118,14623,14712,0.490277778,"1:1,746","1:1,562","1:1,570","1:1,589","1:1,350",,"1:1,117","1:1,045","1:1,055","1:1,085",0.697916667,0.638888889,0.680555556,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0006,0.0006,,,0.0006,,0.0006,,0.0006,0.0005,0.0005,0.0005,0.0005
Polk County,41,42,41,45,51,55,59,58,61,61,65,63,63,59,64,45413,45725,45656,45790,46079,46972,,49162,50031,51353,50123,51899,54186,54258,"1:1,108","1:1,089","1:1,114","1:1,018",0.669444444,0.634722222,,0.630555556,0.611111111,0.626388889,0.577083333,0.613888889,0.679166667,0.630555556,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,,0.0006,0.0007,0.0007,0.0007,0.0007,0.0006,0.0007,,0.0018,0.0018,,,0.0017,,0.0017,,0.0018,0.0017,0.0018,0.0018,0.0018
Potter County,381,422,426,428,433,430,438,427,425,425,418,411,401,390,388,121073,122285,122335,121661,121627,121802,,120458,119648,117415,118525,116547,114647,114649,0.2625,0.243055556,0.240972222,0.238888889,0.236805556,0.238194444,,0.2375,0.2375,0.233333333,0.238888889,0.238888889,0.245833333,0.246527778,0.0044,0.0052,0.0052,0.005,0.005,0.0049,,0.0047,0.0047,0.0047,0.0046,0.0043,0.004,0.004,,0.0048,0.0047,,,0.0044,,0.0043,,0.0041,0.0041,0.0039,0.0038,0.0038
Presidio County,4,11,10,9,8,9,9,9,8,8,9,10,12,15,14,7818,7761,7525,7201,6976,6876,,7156,6948,6704,6131,6140,5795,5686,"1:1,955",0.531944444,0.564583333,0.597222222,0.647222222,0.572222222,,0.59375,0.645138889,0.623611111,0.514583333,0.468055556,0.309722222,0.323611111,0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002
Rains County,10,5,4,5,5,7,6,6,6,6,6,5,7,7,7,10914,11059,10943,11065,11032,11161,,11762,12159,12514,12164,12509,12986,13306,"1:1,091","1:2,212","1:2,736","1:2,213","1:2,206","1:1,594",,"1:1,960","1:2,027","1:2,086","1:2,027","1:2,502","1:1,855","1:1,901",0.0001,0.0001,0,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Randall County,146,150,148,154,161,162,162,166,166,166,165,170,180,185,193,120725,123351,125082,126474,128220,130269,,134442,136271,137713,140753,143854,148255,150547,0.615972222,0.6125,0.628472222,0.611805556,0.594444444,0.6,,0.604166667,0.611805556,0.618055556,0.634027778,0.629166667,0.597916667,0.583333333,0.0017,0.0019,0.0018,0.0018,0.0019,0.0018,,0.0018,0.0018,0.0018,0.0018,0.0018,0.0019,0.002,,0.0048,0.0048,,,0.0047,,0.0047,,0.0048,0.0049,0.0049,0.0049,0.005
Reagan County,4,2,3,4,4,4,4,4,5,5,3,3,3,3,3,3367,3390,3475,3601,3755,3792,,3710,3741,3849,3385,3253,3141,3139,0.626388889,"1:1,695","1:1,158",0.666666667,0.69375,0.7,,0.686111111,0.561111111,0.576388889,"1:1,128","1:1,084","1:1,047","1:1,046",0,0,0,0,0,0,,0,0.0001,0.0001,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Real County,4,3,4,6,9,8,8,5,5,5,3,4,4,4,4,3309,3426,3369,3350,3371,3307,,3429,3478,3452,2758,2826,2854,2772,0.615972222,"1:1,142",0.626388889,0.429166667,0.302083333,0.328472222,,0.518055556,0.525,0.520833333,0.679861111,0.532638889,0.5375,0.522916667,0,0,0,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Red River County,5,7,7,7,7,6,6,6,5,5,6,9,8,7,6,12860,12703,12694,12470,12446,12455,,12229,12175,12023,11587,11555,11678,11696,"1:2,572","1:1,815","1:1,813","1:1,781","1:1,778","1:2,076",,"1:2,038","1:2,435","1:2,405","1:1,931","1:1,284","1:1,668","1:1,949",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Reeves County,14,7,8,6,6,7,9,9,11,11,10,10,9,8,8,13783,13757,13798,13965,14349,14732,,15281,15695,15976,14748,14487,11770,11956,0.725694444,"1:1,965","1:1,725","1:2,328","1:2,392","1:2,105",,"1:1,698","1:1,427","1:1,452","1:1,475","1:1,449","1:1,471","1:1,495",0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0005,,0.0006,0.0005,0.0005,0.0004,0.0004
Refugio County,5,7,7,8,7,7,8,5,6,6,7,7,8,7,9,7383,7291,7259,7305,7302,7289,,7224,7032,6948,6741,6756,6666,6739,"1:1,477","1:1,042","1:1,037",0.675694444,"1:1,043","1:1,041",,"1:1,445","1:1,172","1:1,158",0.710416667,0.711805556,0.702777778,0.561805556,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002
