county name,active in state texas attorney__2010,active in state texas attorney__2011,active in state texas attorney__2012,active in state texas attorney__2013,active in state texas attorney__2014,active in state texas attorney__2015,active in state texas attorney__2016,active in state texas attorney__2017,active in state texas attorney__2018,active in state texas attorney__2019,active in state texas attorney__2020,active in state texas attorney__2021,active in state texas attorney__2023,active in state texas attorney__2024,population__2010,population__2011,population__2012,population__2013,population__2014,population__2015,population__2016,population__2017,population__2018,population__2019,population__2020,population__2021,population__2023,population__2024,ratio of attorney to population__2010,ratio of attorney to population__2011,ratio of attorney to population__2012,ratio of attorney to population__2013,ratio of attorney to population__2014,ratio of attorney to population__2015,ratio of attorney to population__2016,ratio of attorney to population__2017,ratio of attorney to population__2018,ratio of attorney to population__2019,ratio of attorney to population__2020,ratio of attorney to population__2021,ratio of attorney to population__2023,ratio of attorney to population__2024,attorney as a percentage of total in state attorney__2010,attorney as a percentage of total in state attorney__2011,attorney as a percentage of total in state attorney__2012,attorney as a percentage of total in state attorney__2013,attorney as a percentage of total in state attorney__2014,attorney as a percentage of total in state attorney__2015,attorney as a percentage of total in state attorney__2016,attorney as a percentage of total in state attorney__2017,attorney as a percentage of total in state attorney__2018,attorney as a percentage of total in state attorney__2019,attorney as a percentage of total in state attorney__2020,attorney as a percentage of total in state attorney__2021,attorney as a percentage of total in state attorney__2023,attorney as a percentage of total in state attorney__2024,population as a percentage of total texas population__2010,population as a percentage of total texas population__2011,population as a percentage of total texas population__2012,population as a percentage of total texas population__2013,population as a percentage of total texas population__2014,population as a percentage of total texas population__2015,population as a percentage of total texas population__2016,population as a percentage of total texas population__2017,population as a percentage of total texas population__2018,population as a percentage of total texas population__2019,population as a percentage of total texas population__2020,population as a percentage of total texas population__2021,population as a percentage of total texas population__2023,population as a percentage of total texas population__2024
Jim Hogg County,2,3,2,2,2,2,2,2,2,2,2,2,3,3,5300.0,5265.0,5249.0,5245.0,5255.0,5200.0,,5202.0,5248.0,5200.0,4838.0,4801.0,4720.0,4583.0,"1:2,650","1:1,755","1:2,625","1:2,623","1:2,628","1:2,600",,"1:2,601","1:2,624","1:2,600","1:2,419","1:2,401","1:1,573","1:1,528",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Jim Wells County,24,46,48,49,45,43,45,46,47,47,50,45,44,43,40838.0,41339.0,41754.0,41680.0,41353.0,41382.0,,40871.0,40822.0,40482.0,38891.0,38847.0,38662.0,38886.0,"1:1,702",0.6659722222222222,0.6458333333333334,0.6326388888888889,0.6798611111111111,0.7097222222222223,,0.6590277777777778,0.6451388888888889,0.6395833333333333,0.5819444444444445,0.6409722222222223,0.6520833333333333,0.6694444444444444,0.0003,0.0006,0.0006,0.0006,0.0005,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,,0.0016,0.0016,,,0.0015,,0.0014,,0.0014,0.0014,0.0013,0.0013,0.0013
Johnson County,132,152,153,155,159,167,176,178,180,180,183,198,195,208,150934.0,152734.0,153441.0,154707.0,157456.0,159990.0,,167301.0,171361.0,175817.0,179927.0,187280.0,202906.0,210547.0,"1:1,143","1:1,005","1:1,003",0.7347222222222223,0.7291666666666666,0.7069444444444445,,0.6944444444444444,0.7027777777777777,0.7201388888888889,0.7243055555555555,0.6986111111111111,0.7645833333333333,0.7444444444444445,0.0015,0.0019,0.0019,0.0018,0.0018,0.0019,,0.002,0.002,0.002,0.002,0.0021,0.002,0.0021,,0.0059,0.0059,,,0.0058,,0.0059,,0.0061,0.0063,0.0063,0.0068,0.007
Jones County,11,12,11,12,11,11,10,12,12,12,14,14,13,11,20202.0,20146.0,19973.0,19859.0,19936.0,19970.0,,19983.0,19817.0,20083.0,19663.0,19873.0,20381.0,20850.0,"1:1,837","1:1,679","1:1,816","1:1,655","1:1,812","1:1,815",,"1:1,665","1:1,651","1:1,674","1:1,405","1:1,420",1.1305555555555555,1.3576388888888888,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,,0.0008,0.0008,,,0.0007,,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
Karnes County,11,17,16,16,18,22,19,18,16,16,13,13,10,9,14824.0,14946.0,15233.0,15081.0,14906.0,14975.0,,15187.0,15650.0,15601.0,14710.0,14754.0,15018.0,15137.0,"1:1,348",0.6520833333333333,0.7027777777777777,0.6965277777777777,0.6166666666666667,0.5145833333333333,,0.6277777777777778,0.7208333333333333,0.71875,"1:1,132","1:1,135","1:1,502","1:1,682",0.0001,0.0002,0.0002,0.0002,0.0002,0.0003,,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,,0.0006,0.0006,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Kaufman County,102,120,124,130,130,151,151,160,169,169,183,192,195,194,103350.0,105358.0,106753.0,108568.0,111236.0,114690.0,,122883.0,128622.0,136154.0,145310.0,157768.0,185690.0,197829.0,"1:1,013",0.6513888888888889,0.6395833333333333,0.6215277777777778,0.6361111111111111,0.5694444444444444,,0.575,0.5701388888888889,0.6013888888888889,0.5930555555555556,0.6125,0.7027777777777777,0.75,0.0012,0.0015,0.0015,0.0015,0.0015,0.0017,,0.0018,0.0019,0.0019,0.002,0.002,0.002,0.002,,0.0041,0.0041,,,0.0042,,0.0043,,0.0047,0.0051,0.0053,0.0062,0.0066
Kendall County,70,159,160,159,164,161,167,175,190,190,205,211,235,245,33410.0,34781.0,35956.0,37766.0,38880.0,40384.0,,44026.0,45641.0,47431.0,44279.0,46788.0,50537.0,51828.0,0.3729166666666667,0.19375,0.19791666666666666,0.20694444444444443,0.20625,0.21597222222222223,,0.21666666666666667,0.20833333333333334,0.2152777777777778,0.19166666666666668,0.19583333333333333,0.1909722222222222,0.18888888888888888,0.0008,0.002,0.0019,0.0019,0.0019,0.0018,,0.0019,0.0021,0.0021,0.0022,0.0022,0.0024,0.0025,,0.0014,0.0014,,,0.0015,,0.0016,,0.0017,0.0015,0.0016,0.0017,0.0017
Kenedy County,0,3,3,2,2,2,1,1,1,1,1,1,1,1,416.0,437.0,431.0,412.0,400.0,407.0,,417.0,442.0,404.0,350.0,340.0,343.0,330.0,1:--,0.14305555555555555,0.14166666666666666,0.18472222222222223,0.18055555555555555,0.18333333333333332,,0.33125,0.3486111111111111,0.32222222222222224,0.2847222222222222,0.2777777777777778,0.2798611111111111,0.2708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Kent County,0,1,2,2,2,2,1,1,1,1,3,1,1,1,808.0,825.0,839.0,807.0,785.0,764.0,,763.0,726.0,762.0,753.0,749.0,734.0,703.0,1:--,0.6145833333333334,0.3333333333333333,0.32222222222222224,0.3145833333333333,0.30694444444444446,,0.5715277777777777,0.5458333333333333,0.5708333333333333,0.21597222222222223,0.5618055555555556,0.5513888888888889,0.5298611111111111,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Kerr County,95,141,140,135,131,136,132,136,141,141,140,144,150,151,49625.0,49783.0,49786.0,49953.0,50562.0,50955.0,,51720.0,52405.0,52600.0,52598.0,53161.0,53915.0,53900.0,0.4041666666666667,0.28680555555555554,0.28888888888888886,0.2986111111111111,0.30972222222222223,0.3020833333333333,,0.3055555555555556,0.3,0.30069444444444443,0.30277777777777776,0.29791666666666666,0.29097222222222224,0.28958333333333336,0.0011,0.0017,0.0017,0.0016,0.0015,0.0015,,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0016,,0.0019,0.0019,,,0.0019,,0.0018,,0.0018,0.0018,0.0018,0.0018,0.0018
Kimble County,6,11,12,12,9,9,9,10,10,10,9,9,9,9,4607.0,4632.0,4560.0,4481.0,4438.0,4388.0,,4410.0,4362.0,4337.0,4286.0,4365.0,4442.0,4401.0,0.575,0.33402777777777776,0.3055555555555556,0.30069444444444443,0.3840277777777778,0.38055555555555554,,0.34791666666666665,0.34444444444444444,0.34305555555555556,0.37222222222222223,0.3784722222222222,0.38472222222222224,0.38125,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0001,0.0001,0.0001,0.0001
King County,0,0,0,0,0,0,1,1,1,1,0,0,0,0,286.0,255.0,276.0,285.0,262.0,282.0,,296.0,277.0,272.0,265.0,258.0,217.0,215.0,1:--,1:--,1:--,1:--,1:--,1:--,,0.24722222222222223,0.23402777777777778,0.23055555555555557,1:--,1:--,1:--,1: --,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Kinney County,5,3,4,4,4,3,3,4,3,3,3,3,2,2,3598.0,3630.0,3603.0,3586.0,3526.0,3549.0,,3745.0,3767.0,3667.0,3129.0,3130.0,3148.0,3191.0,0.5416666666666666,"1:1,210",0.6673611111111111,0.6645833333333333,0.6541666666666667,"1:1,183",,0.6916666666666667,"1:1,256","1:1,212","1:1,043","1:1,043","1:1,574","1:1,596",0.0001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Kleberg County,29,29,29,29,29,27,25,26,26,26,29,30,30,30,32061.0,32196.0,32025.0,32101.0,32190.0,31857.0,,31088.0,31129.0,30680.0,31040.0,30365.0,30069.0,30442.0,"1:1,105","1:1,110","1:1,104","1:1,107","1:1,110","1:1,180",,"1:1,196","1:1,197","1:1,180","1:1,070","1:1,012","1:1,002","1:1,015",0.0003,0.0004,0.0004,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0013,0.0012,,,0.0012,,0.0011,,0.0011,0.0011,0.001,0.001,0.001
Knox County,4,2,2,2,2,1,1,1,1,1,2,2,2,2,3719.0,3758.0,3789.0,3767.0,3858.0,3860.0,,3710.0,3653.0,3664.0,3353.0,3351.0,3302.0,3255.0,0.6875,"1:1,879","1:1,895","1:1,884","1:1,929","1:3,860",,"1:3,710","1:3,653","1:3,664","1:1,677","1:1,676","1:1,651","1:1,628",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
La Salle County,9,11,11,3,3,3,3,3,7,2,3,3,3,3,6886.0,14167.0,14008.0,7369.0,7474.0,7631.0,,7584.0,21229.0,7520.0,6664.0,6670.0,6537.0,6679.0,0.5729166666666666,"1:1,288","1:1,273","1:2,456","1:2,491","1:2,544",,"1:2,528","1:3,033","1:3,760","1:2,221","1:2,223","1:2,179","1:2,226",0.0001,0.0001,0.0001,0.0,0.0,0.0,,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,,0.0006,0.0005,,,0.0003,,0.0003,,0.0003,0.0002,0.0002,0.0002,0.0002
Lamar County,57,4,4,56,60,61,61,64,2,62,62,60,57,54,49793.0,7001.0,7109.0,49426.0,49523.0,49440.0,,49587.0,49728.0,49859.0,50088.0,50098.0,51127.0,51249.0,0.6479166666666667,"1:1,750","1:1,777",0.6548611111111111,0.6145833333333334,0.6041666666666666,,0.5798611111111112,"1:24,864",0.6,0.6027777777777777,0.6215277777777778,0.6645833333333333,0.7006944444444444,0.0007,0.0,0.0,0.0007,0.0007,0.0007,,0.0007,0.0,0.0007,0.0007,0.0006,0.0006,0.0006,,0.0003,0.0003,,,0.0018,,0.0018,,0.0017,0.0017,0.0017,0.0017,0.0017
Lamb County,16,56,55,11,10,8,7,7,62,7,6,6,6,6,13977.0,50074.0,49811.0,13775.0,13574.0,13385.0,,13210.0,13158.0,12893.0,13045.0,12898.0,12711.0,12687.0,0.6486111111111111,0.6625,0.6708333333333333,"1:1,252","1:1,357","1:1,673",,"1:1,887",0.18888888888888888,"1:1,842","1:2,174","1:2,150","1:2,119","1:2,115",0.0002,0.0007,0.0007,0.0001,0.0001,0.0001,,0.0001,0.0007,0.0001,0.0001,0.0001,0.0001,0.0001,,0.002,0.0019,,,0.0005,,0.0005,,0.0004,0.0005,0.0004,0.0004,0.0004
Lampasas County,19,18,19,20,22,20,19,22,24,24,27,24,29,29,19677.0,19891.0,20107.0,20222.0,20156.0,20588.0,,21027.0,7531.0,21428.0,21627.0,22252.0,23262.0,23539.0,"1:1,035","1:1,105","1:1,058","1:1,011",0.6777777777777778,"1:1,029",,0.7055555555555556,0.25972222222222224,0.6618055555555555,0.5979166666666667,0.6854166666666667,0.5986111111111111,0.6055555555555555,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0008,0.0008,,,0.0007,,0.0007,,0.0007,0.0008,0.0008,0.0008,0.0008
Lavaca County,20,24,25,24,27,28,29,29,26,26,29,32,33,30,19263.0,19347.0,19468.0,19581.0,19721.0,19836.0,,20062.0,20110.0,20154.0,20337.0,20544.0,20571.0,20605.0,0.7104166666666667,0.6013888888888889,0.5826388888888889,0.6083333333333333,0.5486111111111112,0.5333333333333333,,0.5222222222222223,0.5784722222222223,0.5798611111111112,0.5284722222222222,0.4875,0.47430555555555554,0.51875,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0008,0.0007,,,0.0007,,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
Lee County,10,18,16,16,16,15,16,18,21,21,18,19,19,19,16612.0,16666.0,16601.0,16628.0,16742.0,16898.0,,17183.0,17144.0,17239.0,17478.0,17706.0,18240.0,18451.0,"1:1,661",0.6847222222222222,"1:1,038","1:1,039","1:1,046","1:1,127",,0.7048611111111112,0.6083333333333333,0.6118055555555556,0.7159722222222222,0.6888888888888889,0.7083333333333334,0.7159722222222222,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0006,0.0006,,,0.0006,,0.0006,,0.0006,0.0006,0.0006,0.0006,0.0006
Leon County,15,15,13,15,16,15,16,15,15,15,14,15,14,17,16801.0,16916.0,16803.0,16742.0,16861.0,17086.0,,17243.0,17270.0,17404.0,15719.0,15959.0,16538.0,16698.0,"1:1,120","1:1,128","1:1,293","1:1,116","1:1,054","1:1,139",,"1:1,150","1:1,151","1:1,160","1:1,123","1:1,064","1:1,181",0.7236111111111111,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,,0.0007,0.0006,,,0.0006,,0.0006,,0.0006,0.0005,0.0005,0.0006,0.0006
Liberty County,50,71,67,66,70,70,72,72,72,72,73,75,76,77,75643.0,76206.0,76571.0,76907.0,78117.0,79654.0,,83658.0,86323.0,88219.0,91628.0,97621.0,108272.0,115042.0,"1:1,513","1:1,073","1:1,143","1:1,165","1:1,116","1:1,138",,"1:1,162","1:1,199","1:1,225","1:1,255","1:1,302","1:1,425","1:1,494",0.0006,0.0009,0.0008,0.0008,0.0008,0.0008,,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,,0.003,0.0029,,,0.0029,,0.003,,0.0031,0.0032,0.0033,0.0036,0.0038
Limestone County,19,31,29,28,26,30,31,33,32,32,29,29,30,29,23384.0,23634.0,23585.0,23326.0,23524.0,23320.0,,23527.0,23519.0,23437.0,22146.0,22119.0,22250.0,22569.0,"1:1,231",0.5708333333333333,0.60625,0.6201388888888889,0.6701388888888888,0.58125,,0.5368055555555555,0.5520833333333334,0.55,0.5722222222222222,0.5715277777777777,0.5569444444444445,0.5819444444444445,0.0002,0.0004,0.0004,0.0003,0.0003,0.0003,,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,,0.0009,0.0009,,,0.0008,,0.0008,,0.0008,0.0008,0.0007,0.0007,0.0008
Lipscomb County,5,3,3,3,3,4,4,5,5,5,4,3,2,1,3302.0,3327.0,3480.0,3485.0,3553.0,3569.0,,3378.0,3355.0,3233.0,3059.0,2931.0,2906.0,2880.0,0.5,"1:1,109","1:1,160","1:1,162","1:1,184",0.6611111111111111,,0.5111111111111111,0.5076388888888889,0.4909722222222222,0.5729166666666666,0.7201388888888889,"1:1,453","1:2,880",0.0001,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Live Oak County,7,11,13,13,13,14,13,13,12,12,13,13,12,12,11531.0,11447.0,11664.0,11867.0,12091.0,12229.0,,12174.0,12166.0,12207.0,11335.0,11377.0,11584.0,11967.0,"1:1,647","1:1,041",0.6645833333333333,0.6756944444444445,0.6875,0.6486111111111111,,0.6916666666666667,"1:1,014","1:1,017",0.6472222222222223,0.6493055555555556,0.7118055555555556,0.7340277777777777,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Llano County,24,71,66,68,70,64,66,65,63,63,65,86,90,100,19301.0,19181.0,19085.0,19444.0,19510.0,19796.0,,21210.0,21646.0,21795.0,21243.0,21978.0,22875.0,23163.0,0.6,0.22916666666666666,0.2423611111111111,0.24027777777777778,0.23541666666666666,0.25625,,0.26805555555555555,0.28055555555555556,0.28194444444444444,0.26875,0.21944444444444444,0.21805555555555556,0.20277777777777778,0.0003,0.0009,0.0008,0.0008,0.0008,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0009,0.0009,0.001,,0.0007,0.0007,,,0.0007,,0.0007,,0.0008,0.0007,0.0007,0.0008,0.0008
Loving County,0,0,0,0,0,0,0,0,0,0,1,1,1,1,82.0,94.0,71.0,95.0,86.0,112.0,,134.0,152.0,169.0,64.0,57.0,43.0,48.0,1:--,1:--,1:--,1:--,1:--,1:--,,1:--,1:--,1:--,0.08611111111111111,01:57:00,01:43:00,01:48:00,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Lubbock County,676,773,785,789,785,791,808,810,801,801,814,830,837,833,279036.0,283910.0,285760.0,289324.0,293974.0,299453.0,,305225.0,307412.0,310569.0,310639.0,314451.0,320940.0,327394.0,0.3284722222222222,0.2965277777777778,0.29444444444444445,0.2965277777777778,0.3013888888888889,0.30486111111111114,,0.3034722222222222,0.30833333333333335,0.3111111111111111,0.30694444444444446,0.30486111111111114,0.3076388888888889,0.3145833333333333,0.0078,0.0096,0.0095,0.0093,0.0091,0.009,,0.0089,0.0088,0.0088,0.0089,0.0087,0.0086,0.0086,,0.0111,0.011,,,0.0109,,0.0108,,0.0108,0.0108,0.0106,0.0107,0.0109
Lynn County,6,7,9,8,6,7,6,7,7,7,8,7,7,8,5915.0,5888.0,5783.0,5723.0,5771.0,5724.0,,5859.0,5877.0,5951.0,5596.0,5688.0,5761.0,5952.0,0.7263888888888889,0.6256944444444444,0.48819444444444443,0.5381944444444444,0.7097222222222223,0.6097222222222223,,0.3486111111111111,0.625,0.6319444444444444,0.5277777777777778,0.60625,0.6131944444444445,0.5583333333333333,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Madison County,13,13,1,13,15,15,15,18,18,12,18,17,20,18,13664.0,13747.0,5017.0,13781.0,13861.0,14065.0,,14222.0,14422.0,14284.0,13455.0,13718.0,13742.0,13877.0,"1:1,051","1:1,057","1:5,017","1:1,060",0.6833333333333333,0.6930555555555555,,0.5902777777777778,0.5979166666666667,"1:1,190",0.5611111111111111,0.6020833333333333,0.51875,0.5770833333333333,0.0002,0.0002,0.0,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,,0.0005,0.0002,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Marion County,8,6,13,6,5,8,7,9,10,39,10,9,10,10,10546.0,10507.0,4003.0,10235.0,10149.0,10160.0,,10064.0,9928.0,9854.0,9725.0,9645.0,9571.0,9704.0,"1:1,318","1:1,751",0.25555555555555554,"1:1,706","1:2,030","1:1,270",,"1:1,118",0.73125,0.21736111111111112,0.7173611111111111,"1:1,072",0.70625,0.7152777777777778,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0004,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0002,,,0.0004,,0.0004,,0.0003,0.0003,0.0003,0.0003,0.0003
Martin County,7,2,43,1,1,1,2,2,2,2,1,1,1,1,5368.0,4934.0,36547.0,5312.0,5460.0,5641.0,,5626.0,749.0,5771.0,5237.0,5211.0,5216.0,5179.0,0.5743055555555555,"1:2,467",0.6319444444444444,"1:5,312","1:5,460","1:5,641",,"1:2,813",0.3020833333333333,"1:2,886","1:5,237","1:5,211","1:5,216","1:5,179",0.0001,0.0,0.0005,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0002,0.0014,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Mason County,6,10,48,14,12,13,14,12,12,51,13,16,16,18,4012.0,3984.0,55365.0,4128.0,4071.0,4032.0,,4222.0,5753.0,4274.0,3953.0,3943.0,3931.0,3987.0,0.50625,0.31805555555555554,"1:1,153",0.2465277777777778,0.27708333333333335,0.2569444444444444,,0.2861111111111111,0.37430555555555556,0.1,0.25277777777777777,0.2125,0.2125,0.19583333333333333,0.0001,0.0001,0.0006,0.0002,0.0001,0.0001,,0.0001,0.0001,0.0006,0.0001,0.0002,0.0002,0.0002,,0.0002,0.0021,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Matagorda County,25,39,6,41,44,43,41,43,39,9,39,37,34,35,36702.0,36809.0,8313.0,36592.0,36519.0,36770.0,,36840.0,4280.0,36643.0,36255.0,36344.0,36359.0,36391.0,"1:1,468",0.6972222222222222,"1:1,386",0.6611111111111111,0.6180555555555556,0.6354166666666666,,0.6368055555555555,0.11805555555555555,"1:4,071",0.6875,0.7236111111111111,"1:1,069","1:1,040",0.0003,0.0005,0.0001,0.0005,0.0005,0.0005,,0.0005,0.0004,0.0001,0.0004,0.0004,0.0004,0.0004,,0.0014,0.0003,,,0.0013,,0.0013,,0.0013,0.0013,0.0012,0.0012,0.0012
Maverick County,25,45,1,49,51,49,50,50,51,2,50,54,56,60,54258.0,55405.0,726.0,55932.0,57023.0,57706.0,,58216.0,58485.0,58722.0,57887.0,58056.0,57762.0,58829.0,"1:2,170","1:1,231",0.5458333333333333,"1:1,141","1:1,118","1:1,178",,"1:1,164","1:1,147","1:2,9361","1:1,158","1:1,075",0.7576388888888889,0.7222222222222222,0.0003,0.0006,0.0,0.0006,0.0006,0.0006,,0.0005,0.0006,0.0,0.0005,0.0006,0.0006,0.0006,,0.0022,0.0,,,0.0021,,0.0021,,0.002,0.002,0.002,0.0019,0.002
McCulloch County,11,6,13,6,7,9,9,9,9,18,8,7,7,6,8283.0,8290.0,13677.0,8330.0,8199.0,8341.0,,7957.0,7987.0,7984.0,7630.0,7533.0,7452.0,7448.0,0.5645833333333333,"1:1,382","1:1,052","1:1,388","1:1,171",0.6854166666666667,,0.6555555555555556,0.6576388888888889,0.35,0.7041666666666667,"1:1,076","1:2,269","1:1,794",0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0005,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0002,0.0002
McLennan County,310,599,605,618,618,627,641,663,674,674,696,701,727,722,234906.0,238564.0,238707.0,241481.0,243441.0,245671.0,,251259.0,254607.0,256623.0,260579.0,263115.0,268583.0,270358.0,0.5680555555555555,0.31805555555555554,0.3159722222222222,0.31319444444444444,0.31527777777777777,0.3138888888888889,,0.30486111111111114,0.30416666666666664,0.30625,0.3013888888888889,0.3020833333333333,0.29791666666666666,0.3013888888888889,0.0036,0.0074,0.0073,0.0073,0.0071,0.0071,,0.0073,0.0074,0.0074,0.0076,0.0074,0.0075,0.0075,,0.0093,0.0092,,,0.0089,,0.0089,,0.0089,0.0091,0.0089,0.0089,0.009
McMullen County,0,0,4,2,1,1,1,1,2,10,2,2,1,1,707.0,690.0,10324.0,764.0,805.0,820.0,,778.0,749.0,743.0,600.0,608.0,568.0,565.0,1:--,1:--,"1:2,581",0.30694444444444446,0.6006944444444444,0.6111111111111112,,0.5819444444444445,0.3020833333333333,0.09305555555555556,0.25,0.25277777777777777,"1:1,031",0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,0.0,0.0004,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Medina County,40,45,43,46,45,46,43,47,46,46,51,50,50,53,46006.0,46367.0,46765.0,47399.0,47894.0,48417.0,,50066.0,50921.0,51584.0,50748.0,51981.0,54797.0,55619.0,"1:1,150","1:1,030","1:1,088","1:1,030","1:1,064","1:1,053",,"1:1,065","1:1,107","1:1,121",0.7326388888888888,"1:1,040","1:1,096","1:1,049",0.0005,0.0006,0.0005,0.0005,0.0005,0.0005,,0.0005,0.0005,0.0005,0.0006,0.0005,0.0005,0.0005,,0.0018,0.0018,,,0.0018,,0.0018,,0.0018,0.0018,0.0018,0.0018,0.0019
Menard County,1,2,2,2,3,3,3,3,3,3,4,2,2,2,2242.0,2264.0,2240.0,2148.0,2147.0,2164.0,,2124.0,2139.0,2138.0,1962.0,1982.0,1958.0,1911.0,"1:2,242","1:1,132","1:1,120","1:1,074",0.5388888888888889,0.5423611111111111,,0.5333333333333333,0.5368055555555555,0.5368055555555555,0.38263888888888886,0.7298611111111111,"1:1,065","1:1,241",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Midland County,183,409,430,447,479,480,494,513,501,501,503,489,463,465,136872.0,140308.0,146645.0,151468.0,155830.0,161077.0,,165049.0,172578.0,176832.0,169983.0,167969.0,177108.0,183587.0,0.5611111111111111,0.2798611111111111,0.27847222222222223,0.27708333333333335,0.2673611111111111,0.275,,0.2652777777777778,0.28055555555555556,0.28680555555555554,0.2763888888888889,0.2798611111111111,0.3076388888888889,0.3159722222222222,0.0021,0.0051,0.0052,0.0053,0.0055,0.0055,,0.0056,0.0055,0.0055,0.0055,0.0051,0.0048,0.0048,,0.0055,0.0056,,,0.0059,,0.0058,,0.0062,0.0059,0.0057,0.0059,0.0061
